name,parent_brand,price,memory,core_clock,core_boost_clock,length,user_score,user_ratings_count,chipset
Zotac ZT-P10510E-10L,NVIDIA,,4096.0,1290,1392,160,0,5,GeForce GTX 1050 Ti
Zotac ZT-P10700I-10P,NVIDIA,,8192.0,1506,1683,303,0,0,GeForce GTX 1070
Zotac GAMING AMP Holo,NVIDIA,,8192.0,1500,1785,291,0,1,GeForce RTX 3070 LHR
Zotac ZT-50901-10M,NVIDIA,,1024.0,746,,236,0,0,GeForce GTX 560 SE
Zotac GAMING AMP,NVIDIA,,6144.0,1530,1845,210,0,1,GeForce GTX 1660
Zotac ZT-52FPC2N-HSL,NVIDIA,,256.0,,,,0,0,GeForce FX 5200
Zotac GAMING Twin Edge,NVIDIA,,8192.0,1500,1725,232,0,0,GeForce RTX 3070 LHR
Zotac Twin,NVIDIA,1299.99,11264.0,1350,1545,268,0,1,GeForce RTX 2080 Ti
Zotac GAMING AMP,NVIDIA,,8192.0,1410,1740,268,0,0,GeForce RTX 2070
Zotac ZT-40501-10L,NVIDIA,,1024.0,810,,209,0,0,GeForce GTS 450
Zotac GAMING AMP Holo,NVIDIA,,12288.0,1260,1755,318,0,0,GeForce RTX 3080 12GB LHR
Zotac Founders Edition,NVIDIA,,8192.0,1607,1733,267,0,6,GeForce GTX 1080
Zotac ZT-T20700A-10P,NVIDIA,,8192.0,1410,1620,268,0,2,GeForce RTX 2070
Zotac ZT-90301-10M,NVIDIA,,2048.0,1177,1240,206,0,4,GeForce GTX 960
Zotac GAMING Triple Fan,NVIDIA,,11264.0,1350,1545,308,0,1,GeForce RTX 2080 Ti
Zotac ZT-71304-20L,NVIDIA,,1024.0,954,,147,0,0,GeForce GT 710
Zotac AMP,NVIDIA,,6144.0,1051,1140,315,0,2,GeForce GTX 980 Ti
Zotac ZT-70401-10P,NVIDIA,,2048.0,993,,240,0,8,GeForce GTX 760
Zotac AMP Extreme Core,NVIDIA,,8192.0,1410,1815,308,0,1,GeForce RTX 2070
Zotac ZT-71107-10L,NVIDIA,,1024.0,902,,,0,0,GeForce GT 730
Zotac AMP,NVIDIA,,4096.0,1266,1329,208,0,3,GeForce GTX 960
Zotac ZT-T20800G-10P,NVIDIA,,8192.0,1515,1710,268,0,2,GeForce RTX 2080
Zotac AMP,NVIDIA,,8192.0,1771,1911,325,0,6,GeForce GTX 1080
Zotac AMP,NVIDIA,,4096.0,1165,1266,278,0,3,GeForce GTX 980
Zotac GAMING Trinity,NVIDIA,,12288.0,1260,1710,318,0,0,GeForce RTX 3080 12GB LHR
Zotac AMP Omega Core,NVIDIA,,4096.0,1152,1304,280,0,2,GeForce GTX 970
Zotac ZT-60901-10M,NVIDIA,,2048.0,993,,191,0,1,GeForce GTX 660
Zotac AMP Extreme Holo,NVIDIA,,24576.0,1560,1860,356,0,0,GeForce RTX 3090 Ti
Zotac AMP Extreme,NVIDIA,,8192.0,1515,1905,324,0,0,GeForce RTX 2080
Zotac ArcticStorm,NVIDIA,,12288.0,1026,1114,,0,0,GeForce GTX Titan X
Zotac ZT-60303-10P,NVIDIA,,4096.0,928,,240,0,0,GeForce GTX 670
Zotac ZT-90310-10M,NVIDIA,,2048.0,1140,1203,174,0,0,GeForce GTX 960
Zotac ZT-20109-10P,NVIDIA,,1024.0,675,,,0,0,GeForce GTS 250
Zotac GAMING AMP,NVIDIA,,8192.0,1650,1845,298,0,1,GeForce RTX 2080 SUPER
Zotac AMP Extreme,NVIDIA,,8192.0,1650,1875,324,0,2,GeForce RTX 2080 SUPER
Zotac ZT-60607-10L,NVIDIA,,1024.0,810,,167,0,0,GeForce GT 610
Zotac ZT-70602-10M,NVIDIA,,2048.0,1046,1124,198,0,0,GeForce GTX 750 Ti
Zotac ZT-70706-10M,NVIDIA,,1024.0,1033,1111,145,0,1,GeForce GTX 750
Zotac ZT-70506-10P,NVIDIA,,3072.0,941,1006,276,0,0,GeForce GTX 780 Ti
Zotac Founders Edition,NVIDIA,,8192.0,1506,1683,267,0,7,GeForce GTX 1070
